nta,boro_name,name,shape_area,population,population_density,engine_incident_average_duration_first_shift,engine_incident_average_duration_second_shift,ladder_incident_average_duration_first_shift,ladder_incident_average_duration_second_shift,rescue_incident_average_duration_first_shift,rescue_incident_average_duration_second_shift,squad_incident_average_duration_first_shift,squad_incident_average_duration_second_shift,hazardous_incident_average_duration_first_shift,hazardous_incident_average_duration_second_shift,engine_needed_per_density_first_shift,engine_needed_per_density_second_shift,ladder_needed_per_density_first_shift,ladder_needed_per_density_second_shift,rescue_needed_per_density_first_shift,rescue_needed_per_density_second_shift,squad_needed_per_density_first_shift,squad_needed_per_density_second_shift,hazardous_needed_per_density_first_shift,hazardous_needed_per_density_second_shift
BK42,Brooklyn,Flatbush,0.12334669866036554,0.7992566740697095,0.4094742997492072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN27,Queens,East Elmhurst,0.043994729921123556,0.17487800087627853,0.20551257101523696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI01,Staten Island,Annadale-Huguenot-Prince's Bay-Eltingville,0.4216626330517626,0.20977805979845593,0.03444116382413547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI32,Staten Island,Rossville-Woodrow,0.18465589257259288,0.15684630376648687,0.05596562435171263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK19,Brooklyn,Brighton Beach,0.03608338527013138,0.26852649231745457,0.3623011158474652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK23,Brooklyn,West Brighton,0.009835260238551621,0.13408572421399326,0.35567613419696786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI25,Staten Island,Oakwood-Oakwood Beach,0.15658425977265147,0.16656090891235703,0.06902460558044901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI54,Staten Island,Great Kills,0.2612892945917401,0.30760398253486226,0.07957055275937265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN13,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,0.097876101486597,0.529921890344317,0.3315086594253748,0.0,1569.4772151898735,0.0,1519.6304787592717,0.0,1770.5348837209303,0.0,922.4117647058823,0.0,1475.3300970873786,0.0,0.35303243920853855,0.0,0.3322309258809562,0.0,0.37183233796735676,0.0,0.24120159375039074,0.0,0.4277262121599469
MN15,Manhattan,Clinton,0.039793329008062796,0.34661348562449956,0.4372881559771041,0.0,1761.9793307086613,0.0,1721.4572769953052,0.0,1933.2068965517242,0.0,1405.7142857142858,0.0,1523.942857142857,0.0,0.4578154828752181,0.0,0.4811580486139216,0.0,0.5057267679200315,0.0,0.4005885475158158,0.0,0.586227142706072
BK72,Brooklyn,Williamsburg,0.018699287956008406,0.24872712988563053,0.49748140621339054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI05,Staten Island,New Springville-Bloomfield-Travis,1.0000000000000002,0.2991206998141685,0.021191560494612818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI48,Staten Island,Arden Heights,0.1394172318802306,0.19065101451902883,0.08766044338039072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX75,Bronx,Crotona Park East,0.03338205844411289,0.1531749988668812,0.21767407865722285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN24,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,0.0604974255941308,0.32287842390729576,0.2989882498793022,0.0,1767.8022312373225,0.0,1831.2639175257732,0.0,2454.0857142857144,0.0,2462.785714285714,0.0,1508.65,0.0,0.32611180528713746,0.0,0.3216641931247128,0.0,0.4480008369419687,0.0,0.2940298122720742,0.0,0.3688178829893614
MN25,Manhattan,Battery Park City-Lower Manhattan,0.041776489285695745,0.2998912205955672,0.3656502442698765,0.0,1394.186230248307,0.0,1514.251968503937,0.0,1329.3809523809523,0.0,1484.2222222222222,0.0,1256.1875,0.0,0.3858427525641613,0.0,0.3881680315975243,0.0,0.35392977117239616,0.0,0.24888164005690533,0.0,0.517997559793234
BX08,Bronx,West Farms-Bronx River,0.02956533764628392,0.26447748115245734,0.4064292617131161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN03,Manhattan,Central Harlem North-Polo Grounds,0.06164893863483426,0.5686896614241037,0.5189341882797731,1614.0896455872135,1579.3925925925926,1609.870893371758,1554.3293378995434,1397.9645390070923,1389.0980392156862,1573.6666666666667,1842.48,1633.6440677966102,1824.5042016806722,0.47987859387355103,0.5719901903790754,0.49145658240788354,0.5725150936576959,0.48347661783817053,0.6432840914399445,0.4980263933728601,0.5173985340323546,0.42885606095996287,0.7208244942421486
MN99,Manhattan,park-cemetery-etc-Manhattan,0.26710878686674094,0.013967577694178791,0.003539191617032381,2030.531914893617,1138.6052631578948,1945.483870967742,956.3142857142857,2261.6666666666665,0.0,964.6666666666666,1961.0,2692.0,1125.0,0.004352256391608797,0.0034390705619572995,0.004876670319791909,0.0031759006886219244,0.0028564304069378754,0.0,0.005762184337277535,0.005746867912744435,0.008073569014942536,0.006728040483212998
QN45,Queens,Douglas Manor-Douglaston-Little Neck,0.19375036571379367,0.18688150599042136,0.06380976408393685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN06,Queens,Jamaica Estates-Holliswood,0.11570894915053564,0.19247911284352384,0.1042716622200889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK32,Brooklyn,Sunset Park West,0.1379894996394255,0.4082324857604738,0.18942873102208088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK37,Brooklyn,Park Slope-Gowanus,0.11482422837725367,0.5110290229494326,0.278692875927756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN34,Queens,Queens Village,0.1988651670839151,0.39662179516233814,0.13222072522252573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN42,Queens,Oakland Gardens,0.1412640506981989,0.21330583631721284,0.09693496558096368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX37,Bronx,Van Nest-Morris Park-Westchester Square,0.09559236056576262,0.22095816525404524,0.14102241657906867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX46,Bronx,Parkchester,0.011220644635039231,0.2252715708048165,0.5685663088278587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN30,Queens,Maspeth,0.09345701986752136,0.2305216878937588,0.14996175585473986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN31,Queens,Hunters Point-Sunnyside-West Maspeth,0.3011308262787634,0.4779570623517503,0.10816970155152845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN18,Queens,Rego Park,0.04466870987241715,0.21347958119929294,0.24814927056648795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN29,Queens,Elmhurst,0.08428375498277899,0.667988638595537,0.4737749375462583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
